TopicName,Date,Language,Region,Status,StudentId
Data Science Fundamentals,2024-12-15,Gujarati,Jaipur,Pending,6749d45eb6789fdbbe7a62a8
Machine Learning Basics,2024-11-29,Kannada,Bangalore,Pending,6749d45eb6789fdbbe7a62b1
Machine Learning Basics,2024-12-09,Kannada,Pune,Pending,6749d45eb6789fdbbe7a62b9
Big Data Analytics,2024-11-23,Tamil,Bangalore,Pending,6749d45eb6789fdbbe7a62ab
Neural Networks,2024-11-06,Bengali,Mumbai,Pending,6749d45eb6789fdbbe7a62b6
Full-Stack Development,2024-11-25,Marathi,Bangalore,Pending,6749d45eb6789fdbbe7a62b7
Data Science Fundamentals,2024-12-13,Tamil,Ahmedabad,Pending,6749d45eb6789fdbbe7a62ae
Web Development with MERN,2024-11-06,Telugu,Mumbai,Pending,6749d45eb6789fdbbe7a62aa
Quantum Computing,2024-12-14,Bengali,Kolkata,Pending,6749d45eb6789fdbbe7a62af
Mobile App Development,2024-11-15,Telugu,Ahmedabad,Pending,6749d45eb6789fdbbe7a62ba
Full-Stack Development,2024-11-12,Tamil,Mumbai,Pending,6749d45eb6789fdbbe7a62a9
Embedded Systems,2024-12-09,Hindi,Pune,Pending,6749d45eb6789fdbbe7a62a8
Advanced Python,2024-12-22,Gujarati,Pune,Pending,6749d45eb6789fdbbe7a62af
Ethical AI,2024-11-18,Marathi,Mumbai,Pending,6749d45eb6789fdbbe7a62ba
UI/UX Design,2024-12-12,Malayalam,Bangalore,Pending,6749d45eb6789fdbbe7a62a9
IoT and Smart Devices,2024-12-28,Tamil,Delhi,Pending,6749d45eb6789fdbbe7a62ab
Neural Networks,2024-11-17,Kannada,Hyderabad,Pending,6749d45eb6789fdbbe7a62b8
Advanced Python,2024-11-14,Hindi,Delhi,Pending,6749d45eb6789fdbbe7a62b7
IoT and Smart Devices,2024-11-29,Telugu,Pune,Pending,6749d45eb6789fdbbe7a62aa
DevOps Practices,2024-11-05,English,Hyderabad,Pending,6749d45eb6789fdbbe7a62b6
